"fieldid.x","labid","rep.x","defecator","speciessimpleid.x","final_scientific","species","genus","family","order","class","phylum","final_common","genus_group","family_group","order_group","class_group","best_match_pid.mean","total_reads","rep_reads","spec_reads","p_reads","replicates"
"DESC_0190_16","DESC66","repa","Vulpes vulpes","Thomomys talpoides","Thomomys talpoides","talpoides","Thomomys","Geomyidae","Rodentia","Mammalia","Chordata","Northern pocket gopher","Pocket gopher","Pocket gophers","Rodents","Mammals",99.1514285714286,6072,2435,5348,0.880764163372859,1
"DESC_0190_16","DESC66","repb","Vulpes vulpes","Neotoma cinerea","Neotoma cinerea","cinerea","Neotoma","Cricetidae","Rodentia","Mammalia","Chordata","Bushy-tailed woodrat","Woodrat","Cricetids","Rodents","Mammals",100,6072,3405,724,0.119235836627141,1
"DESC_0190_16","DESC66","repb","Vulpes vulpes","Thomomys talpoides","Thomomys talpoides","talpoides","Thomomys","Geomyidae","Rodentia","Mammalia","Chordata","Northern pocket gopher","Pocket gopher","Pocket gophers","Rodents","Mammals",99.1514285714286,6072,3405,5348,0.880764163372859,1
"DESC_0190_16","DESC66","repc","Vulpes vulpes","Neotoma cinerea","Neotoma cinerea","cinerea","Neotoma","Cricetidae","Rodentia","Mammalia","Chordata","Bushy-tailed woodrat","Woodrat","Cricetids","Rodents","Mammals",100,6072,232,724,0.119235836627141,1
"DESC_0190_16","DESC66","repc","Vulpes vulpes","Thomomys talpoides","Thomomys talpoides","talpoides","Thomomys","Geomyidae","Rodentia","Mammalia","Chordata","Northern pocket gopher","Pocket gopher","Pocket gophers","Rodents","Mammals",99.1514285714286,6072,232,5348,0.880764163372859,1
"DESC_0190_27","DESC77","repa","Vulpes vulpes","Odocoileus sp.","Odocoileus sp.","sp.","Odocoileus","Cervidae","Cetartiodactyla","Mammalia","Chordata","Deer","Deer","Deer and elk","Even-toed ungulates","Mammals",100,123666,39470,123182,0.996086232270794,1
"DESC_0190_27","DESC77","repb","Vulpes vulpes","Odocoileus sp.","Odocoileus sp.","sp.","Odocoileus","Cervidae","Cetartiodactyla","Mammalia","Chordata","Deer","Deer","Deer and elk","Even-toed ungulates","Mammals",100,123666,44386,123182,0.996086232270794,1
"DESC_0190_27","DESC77","repc","Vulpes vulpes","Odocoileus sp.","Odocoileus sp.","sp.","Odocoileus","Cervidae","Cetartiodactyla","Mammalia","Chordata","Deer","Deer","Deer and elk","Even-toed ungulates","Mammals",100,123666,39810,123182,0.996086232270794,1
"DESC_0231_11","DESC99","repa","Vulpes vulpes","Odocoileus sp.","Odocoileus sp.","sp.","Odocoileus","Cervidae","Cetartiodactyla","Mammalia","Chordata","Deer","Deer","Deer and elk","Even-toed ungulates","Mammals",100,7538,3025,784,0.1040063677368,1
"DESC_0231_11","DESC99","repa","Vulpes vulpes","Peromyscus maniculatus","Peromyscus maniculatus","maniculatus","Peromyscus","Cricetidae","Rodentia","Mammalia","Chordata","Deer mouse","Deer mice","Cricetids","Rodents","Mammals",100,7538,3025,2628,0.348633589811621,1
"DESC_0231_11","DESC99","repa","Vulpes vulpes","Thomomys talpoides","Thomomys talpoides","talpoides","Thomomys","Geomyidae","Rodentia","Mammalia","Chordata","Northern pocket gopher","Pocket gopher","Pocket gophers","Rodents","Mammals",99.01,7538,3025,4126,0.547360042451579,1
"DESC_0231_11","DESC99","repb","Vulpes vulpes","Odocoileus sp.","Odocoileus sp.","sp.","Odocoileus","Cervidae","Cetartiodactyla","Mammalia","Chordata","Deer","Deer","Deer and elk","Even-toed ungulates","Mammals",100,7538,2996,784,0.1040063677368,1
"DESC_0231_11","DESC99","repb","Vulpes vulpes","Peromyscus maniculatus","Peromyscus maniculatus","maniculatus","Peromyscus","Cricetidae","Rodentia","Mammalia","Chordata","Deer mouse","Deer mice","Cricetids","Rodents","Mammals",100,7538,2996,2628,0.348633589811621,1
"DESC_0231_11","DESC99","repb","Vulpes vulpes","Thomomys talpoides","Thomomys talpoides","talpoides","Thomomys","Geomyidae","Rodentia","Mammalia","Chordata","Northern pocket gopher","Pocket gopher","Pocket gophers","Rodents","Mammals",99.01,7538,2996,4126,0.547360042451579,1
"DESC_0231_11","DESC99","repc","Vulpes vulpes","Odocoileus sp.","Odocoileus sp.","sp.","Odocoileus","Cervidae","Cetartiodactyla","Mammalia","Chordata","Deer","Deer","Deer and elk","Even-toed ungulates","Mammals",100,7538,1517,784,0.1040063677368,1
"DESC_0231_11","DESC99","repc","Vulpes vulpes","Peromyscus maniculatus","Peromyscus maniculatus","maniculatus","Peromyscus","Cricetidae","Rodentia","Mammalia","Chordata","Deer mouse","Deer mice","Cricetids","Rodents","Mammals",100,7538,1517,2628,0.348633589811621,1
