"key","labid","fieldid.x","rep.x","speciessimpleid.x","defecator","final_scientific","species","genus","family","order","class","final_common","genus_group","family_group","order_group","class_group","counts","best_match_pid.mean","phylum","fieldid.y","total_reads","rep.y","rep_reads","speciessimpleid.y","spec_reads","p_reads"
"DESC_0190_15_repaThomomys talpoides","DESC65","DESC_0190_15","repa","Thomomys talpoides","Vulpes vulpes","Thomomys talpoides","talpoides","Thomomys","Geomyidae","Rodentia","Mammalia","Northern pocket gopher","Pocket gopher","Pocket gophers","Rodents","Mammals",7656,99.009,"Chordata","DESC_0190_15",31588,"repa",13641,"Thomomys talpoides",15310,0.484677725718627
"DESC_0190_15_repbCervus canadensis","DESC65","DESC_0190_15","repb","Cervus canadensis","Vulpes vulpes","Cervus canadensis","canadensis","Cervus","Cervidae","Cetartiodactyla","Mammalia","Elk","Elk","Deer and elk","Even-toed ungulates","Mammals",5330,99.6733333333333,"Chordata","DESC_0190_15",31588,"repb",5330,"Cervus canadensis",16278,0.515322274281373
"DESC_0190_15_repbThomomys talpoides","DESC65","DESC_0190_15","repb","Thomomys talpoides","Vulpes vulpes","Thomomys talpoides","talpoides","Thomomys","Geomyidae","Rodentia","Mammalia","Northern pocket gopher","Pocket gopher","Pocket gophers","Rodents","Mammals",0,99.009,"Chordata","DESC_0190_15",31588,"repb",5330,"Thomomys talpoides",15310,0.484677725718627
"DESC_0190_15_repcCervus canadensis","DESC65","DESC_0190_15","repc","Cervus canadensis","Vulpes vulpes","Cervus canadensis","canadensis","Cervus","Cervidae","Cetartiodactyla","Mammalia","Elk","Elk","Deer and elk","Even-toed ungulates","Mammals",4963,99.6733333333333,"Chordata","DESC_0190_15",31588,"repc",12617,"Cervus canadensis",16278,0.515322274281373
"DESC_0190_15_repcThomomys talpoides","DESC65","DESC_0190_15","repc","Thomomys talpoides","Vulpes vulpes","Thomomys talpoides","talpoides","Thomomys","Geomyidae","Rodentia","Mammalia","Northern pocket gopher","Pocket gopher","Pocket gophers","Rodents","Mammals",7654,99.009,"Chordata","DESC_0190_15",31588,"repc",12617,"Thomomys talpoides",15310,0.484677725718627
"DESC_0190_16_repaNeotoma cinerea","DESC66","DESC_0190_16","repa","Neotoma cinerea","Vulpes vulpes","Neotoma cinerea","cinerea","Neotoma","Cricetidae","Rodentia","Mammalia","Bushy-tailed woodrat","Woodrat","Cricetids","Rodents","Mammals",182,100,"Chordata","DESC_0190_16",6072,"repa",2435,"Neotoma cinerea",724,0.119235836627141
"DESC_0190_16_repaThomomys talpoides","DESC66","DESC_0190_16","repa","Thomomys talpoides","Vulpes vulpes","Thomomys talpoides","talpoides","Thomomys","Geomyidae","Rodentia","Mammalia","Northern pocket gopher","Pocket gopher","Pocket gophers","Rodents","Mammals",2253,99.1514285714286,"Chordata","DESC_0190_16",6072,"repa",2435,"Thomomys talpoides",5348,0.880764163372859
"DESC_0190_16_repbNeotoma cinerea","DESC66","DESC_0190_16","repb","Neotoma cinerea","Vulpes vulpes","Neotoma cinerea","cinerea","Neotoma","Cricetidae","Rodentia","Mammalia","Bushy-tailed woodrat","Woodrat","Cricetids","Rodents","Mammals",310,100,"Chordata","DESC_0190_16",6072,"repb",3405,"Neotoma cinerea",724,0.119235836627141
"DESC_0190_16_repbThomomys talpoides","DESC66","DESC_0190_16","repb","Thomomys talpoides","Vulpes vulpes","Thomomys talpoides","talpoides","Thomomys","Geomyidae","Rodentia","Mammalia","Northern pocket gopher","Pocket gopher","Pocket gophers","Rodents","Mammals",3095,99.1514285714286,"Chordata","DESC_0190_16",6072,"repb",3405,"Thomomys talpoides",5348,0.880764163372859
"DESC_0190_16_repcNeotoma cinerea","DESC66","DESC_0190_16","repc","Neotoma cinerea","Vulpes vulpes","Neotoma cinerea","cinerea","Neotoma","Cricetidae","Rodentia","Mammalia","Bushy-tailed woodrat","Woodrat","Cricetids","Rodents","Mammals",232,100,"Chordata","DESC_0190_16",6072,"repc",232,"Neotoma cinerea",724,0.119235836627141
