"key","labid","fieldid.x","rep.x","speciessimpleid.x","defecator","final_scientific","species","genus","family","order","class","final_common","genus_group","family_group","order_group","class_group","counts","best_match_pid.mean","phylum","fieldid.y","total_reads","rep.y","rep_reads","speciessimpleid.y","spec_reads","p_reads"
"DESC_0190_24_repcOdocoileus sp.","DESC74","DESC_0190_24","repc","Odocoileus sp.","Canis latrans","Odocoileus sp.","sp.","Odocoileus","Cervidae","Cetartiodactyla","Mammalia","Deer","Deer","Deer and elk","Even-toed ungulates","Mammals",19866,99.51,"Chordata","DESC_0190_24",61874,"repc",19866,"Odocoileus sp.",61874,1
"DESC_0190_25_repaCervus canadensis","DESC75","DESC_0190_25","repa","Cervus canadensis","Canis latrans","Cervus canadensis","canadensis","Cervus","Cervidae","Cetartiodactyla","Mammalia","Elk","Elk","Deer and elk","Even-toed ungulates","Mammals",53608,99.51,"Chordata","DESC_0190_25",192006,"repa",53608,"Cervus canadensis",192006,1
"DESC_0190_25_repbCervus canadensis","DESC75","DESC_0190_25","repb","Cervus canadensis","Canis latrans","Cervus canadensis","canadensis","Cervus","Cervidae","Cetartiodactyla","Mammalia","Elk","Elk","Deer and elk","Even-toed ungulates","Mammals",85980,99.51,"Chordata","DESC_0190_25",192006,"repb",85980,"Cervus canadensis",192006,1
"DESC_0190_25_repcCervus canadensis","DESC75","DESC_0190_25","repc","Cervus canadensis","Canis latrans","Cervus canadensis","canadensis","Cervus","Cervidae","Cetartiodactyla","Mammalia","Elk","Elk","Deer and elk","Even-toed ungulates","Mammals",52418,99.51,"Chordata","DESC_0190_25",192006,"repc",52418,"Cervus canadensis",192006,1
"DESC_0190_38_repaMephitis mephitis","DESC88","DESC_0190_38","repa","Mephitis mephitis","Canis latrans","Mephitis mephitis","mephitis","Mephitis","Mephitidae","Carnivora","Mammalia","Striped skunk","Striped skunks","Skunks","Carnivores","Mammals",1060,100,"Chordata","DESC_0190_38",3716,"repa",1060,"Mephitis mephitis",3716,1
"DESC_0190_38_repbMephitis mephitis","DESC88","DESC_0190_38","repb","Mephitis mephitis","Canis latrans","Mephitis mephitis","mephitis","Mephitis","Mephitidae","Carnivora","Mammalia","Striped skunk","Striped skunks","Skunks","Carnivores","Mammals",1438,100,"Chordata","DESC_0190_38",3716,"repb",1438,"Mephitis mephitis",3716,1
"DESC_0190_38_repcMephitis mephitis","DESC88","DESC_0190_38","repc","Mephitis mephitis","Canis latrans","Mephitis mephitis","mephitis","Mephitis","Mephitidae","Carnivora","Mammalia","Striped skunk","Striped skunks","Skunks","Carnivores","Mammals",1218,100,"Chordata","DESC_0190_38",3716,"repc",1218,"Mephitis mephitis",3716,1
"DESC_0190_5_repaSorex sp.","DESC55","DESC_0190_5","repa","Sorex sp.","Canis latrans","Sorex sp.","sp.","Sorex","Soricidae","Soricimorpha","Mammalia","Shrew","Shrew","Shrews","Moles and shrews","Mammals",806,100,"Chordata","DESC_0190_5",2134,"repa",806,"Sorex sp.",2134,1
"DESC_0190_5_repbSorex sp.","DESC55","DESC_0190_5","repb","Sorex sp.","Canis latrans","Sorex sp.","sp.","Sorex","Soricidae","Soricimorpha","Mammalia","Shrew","Shrew","Shrews","Moles and shrews","Mammals",488,100,"Chordata","DESC_0190_5",2134,"repb",488,"Sorex sp.",2134,1
"DESC_0190_5_repcSorex sp.","DESC55","DESC_0190_5","repc","Sorex sp.","Canis latrans","Sorex sp.","sp.","Sorex","Soricidae","Soricimorpha","Mammalia","Shrew","Shrew","Shrews","Moles and shrews","Mammals",840,100,"Chordata","DESC_0190_5",2134,"repc",840,"Sorex sp.",2134,1
"DESC_0278_36_repaOdocoileus sp.","DESC139","DESC_0278_36","repa","Odocoileus sp.","Canis latrans","Odocoileus sp.","sp.","Odocoileus","Cervidae","Cetartiodactyla","Mammalia","Deer","Deer","Deer and elk","Even-toed ungulates","Mammals",8142,99.51,"Chordata","DESC_0278_36",28256,"repa",8142,"Odocoileus sp.",28256,1
"DESC_0278_36_repbOdocoileus sp.","DESC139","DESC_0278_36","repb","Odocoileus sp.","Canis latrans","Odocoileus sp.","sp.","Odocoileus","Cervidae","Cetartiodactyla","Mammalia","Deer","Deer","Deer and elk","Even-toed ungulates","Mammals",7990,99.51,"Chordata","DESC_0278_36",28256,"repb",7990,"Odocoileus sp.",28256,1
"DESC_0278_36_repcOdocoileus sp.","DESC139","DESC_0278_36","repc","Odocoileus sp.","Canis latrans","Odocoileus sp.","sp.","Odocoileus","Cervidae","Cetartiodactyla","Mammalia","Deer","Deer","Deer and elk","Even-toed ungulates","Mammals",12124,99.51,"Chordata","DESC_0278_36",28256,"repc",12124,"Odocoileus sp.",28256,1
