"fieldid.x","labid","rep.x","defecator","speciessimpleid.x","final_scientific","species","genus","family","order","class","phylum","final_common","genus_group","family_group","order_group","class_group","best_match_pid.mean","total_reads","rep_reads","spec_reads","p_reads","replicates"
"DESC_0190_38","DESC88","repc","Canis latrans","Mephitis mephitis","Mephitis mephitis","mephitis","Mephitis","Mephitidae","Carnivora","Mammalia","Chordata","Striped skunk","Striped skunks","Skunks","Carnivores","Mammals",100,3716,1218,3716,1,1
"DESC_0190_5","DESC55","repa","Canis latrans","Sorex sp.","Sorex sp.","sp.","Sorex","Soricidae","Soricimorpha","Mammalia","Chordata","Shrew","Shrew","Shrews","Moles and shrews","Mammals",100,2134,806,2134,1,1
"DESC_0190_5","DESC55","repb","Canis latrans","Sorex sp.","Sorex sp.","sp.","Sorex","Soricidae","Soricimorpha","Mammalia","Chordata","Shrew","Shrew","Shrews","Moles and shrews","Mammals",100,2134,488,2134,1,1
"DESC_0190_5","DESC55","repc","Canis latrans","Sorex sp.","Sorex sp.","sp.","Sorex","Soricidae","Soricimorpha","Mammalia","Chordata","Shrew","Shrew","Shrews","Moles and shrews","Mammals",100,2134,840,2134,1,1
"DESC_0278_36","DESC139","repa","Canis latrans","Odocoileus sp.","Odocoileus sp.","sp.","Odocoileus","Cervidae","Cetartiodactyla","Mammalia","Chordata","Deer","Deer","Deer and elk","Even-toed ungulates","Mammals",99.51,28256,8142,28256,1,1
"DESC_0278_36","DESC139","repb","Canis latrans","Odocoileus sp.","Odocoileus sp.","sp.","Odocoileus","Cervidae","Cetartiodactyla","Mammalia","Chordata","Deer","Deer","Deer and elk","Even-toed ungulates","Mammals",99.51,28256,7990,28256,1,1
"DESC_0278_36","DESC139","repc","Canis latrans","Odocoileus sp.","Odocoileus sp.","sp.","Odocoileus","Cervidae","Cetartiodactyla","Mammalia","Chordata","Deer","Deer","Deer and elk","Even-toed ungulates","Mammals",99.51,28256,12124,28256,1,1
"DESC_0282_11","DESC11","repa","Canis latrans","Callospermophilus lateralis","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Chordata","Golden-mantled ground squirrel","Ground squirrel","Squirrels","Rodents","Mammals",99.505,51494,17504,27278,0.529731619217773,1
"DESC_0282_11","DESC11","repa","Canis latrans","Tamias sp","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chordata","Chipmunk","Chipmunk","Squirrels","Rodents","Mammals",99.67,51494,17504,24216,0.470268380782227,1
"DESC_0282_11","DESC11","repb","Canis latrans","Callospermophilus lateralis","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Chordata","Golden-mantled ground squirrel","Ground squirrel","Squirrels","Rodents","Mammals",99.505,51494,10304,27278,0.529731619217773,1
"DESC_0282_11","DESC11","repb","Canis latrans","Tamias sp","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chordata","Chipmunk","Chipmunk","Squirrels","Rodents","Mammals",99.67,51494,10304,24216,0.470268380782227,1
"DESC_0282_11","DESC11","repc","Canis latrans","Callospermophilus lateralis","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Chordata","Golden-mantled ground squirrel","Ground squirrel","Squirrels","Rodents","Mammals",99.505,51494,23686,27278,0.529731619217773,1
"DESC_0282_11","DESC11","repc","Canis latrans","Tamias sp","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chordata","Chipmunk","Chipmunk","Squirrels","Rodents","Mammals",99.67,51494,23686,24216,0.470268380782227,1
"DESC_0282_14","DESC14","repa","Canis latrans","Marmota flaviventris","Marmota flaviventris","flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata","Yellow-bellied marmot","Marmot","Squirrels","Rodents","Mammals",100,11939,3195,943,0.0789848396013066,1
"DESC_0282_14","DESC14","repa","Canis latrans","Phenacomys intermedius","Phenacomys intermedius","intermedius","Phenacomys","Cricetidae","Rodentia","Mammalia","Chordata","Western heather vole","Vole","Cricetids","Rodents","Mammals",99.02,11939,3195,2234,0.187117849066086,1
"DESC_0282_14","DESC14","repa","Canis latrans","Tamias sp","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chordata","Chipmunk","Chipmunk","Squirrels","Rodents","Mammals",99.67,11939,3195,8762,0.733897311332607,1
"DESC_0282_14","DESC14","repb","Canis latrans","Marmota flaviventris","Marmota flaviventris","flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata","Yellow-bellied marmot","Marmot","Squirrels","Rodents","Mammals",100,11939,4323,943,0.0789848396013066,1
"DESC_0282_14","DESC14","repb","Canis latrans","Phenacomys intermedius","Phenacomys intermedius","intermedius","Phenacomys","Cricetidae","Rodentia","Mammalia","Chordata","Western heather vole","Vole","Cricetids","Rodents","Mammals",99.02,11939,4323,2234,0.187117849066086,1
"DESC_0282_14","DESC14","repb","Canis latrans","Tamias sp","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chordata","Chipmunk","Chipmunk","Squirrels","Rodents","Mammals",99.67,11939,4323,8762,0.733897311332607,1
"DESC_0282_14","DESC14","repc","Canis latrans","Marmota flaviventris","Marmota flaviventris","flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata","Yellow-bellied marmot","Marmot","Squirrels","Rodents","Mammals",100,11939,4421,943,0.0789848396013066,1
"DESC_0282_14","DESC14","repc","Canis latrans","Phenacomys intermedius","Phenacomys intermedius","intermedius","Phenacomys","Cricetidae","Rodentia","Mammalia","Chordata","Western heather vole","Vole","Cricetids","Rodents","Mammals",99.02,11939,4421,2234,0.187117849066086,1
"DESC_0282_14","DESC14","repc","Canis latrans","Tamias sp","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chordata","Chipmunk","Chipmunk","Squirrels","Rodents","Mammals",99.67,11939,4421,8762,0.733897311332607,1
