"fieldid.x","defecator","speciessimpleid.x","final_scientific","species","genus","family","order","class","phylum","reps","speciesreads","totalreads","rra","pidmatch","lineage"
"DESC_0282_5","Canis latrans","Thomomys talpoides","Thomomys talpoides","talpoides","Thomomys","Geomyidae","Rodentia","Mammalia","Chordata",3,13482,13482,1,99.01,"Chordata,Mammalia,Rodentia,Geomyidae,Thomomys,talpoides"
"DESC_0282_8","Canis latrans","Marmota flaviventris","Marmota flaviventris","flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",3,434,434,1,100,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,flaviventris"
"DESC_0637_15","Canis latrans","Lepus americanus","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata",3,46512,46512,1,98.02,"Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,americanus"
"DESC_0637_19","Canis latrans","Dendragapus fuliginosus","Dendragapus fuliginosus","fuliginosus","Dendragapus","Phaisianidae","Galliformes","Aves","Chordata",3,385,2767,0.139139862667149,100,"Chordata,Aves,Galliformes,Phaisianidae,Dendragapus,fuliginosus"
"DESC_0637_19","Canis latrans","Lepus americanus","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata",3,2382,2767,0.860860137332851,98.02,"Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,americanus"
"DESC_0637_20","Canis latrans","Dendragapus fuliginosus","Dendragapus fuliginosus","fuliginosus","Dendragapus","Phaisianidae","Galliformes","Aves","Chordata",3,5228,6596,0.792601576713159,100,"Chordata,Aves,Galliformes,Phaisianidae,Dendragapus,fuliginosus"
"DESC_0637_20","Canis latrans","Lepus americanus","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata",3,1368,6596,0.207398423286841,98.02,"Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,americanus"
"DESC_0637_5","Canis latrans","Lepus americanus","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata",3,12664,12664,1,98.02,"Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,americanus"
"DESC_0637_6","Canis latrans","Lepus americanus","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata",3,3332,3332,1,98.02,"Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,americanus"
"JEFF_0424_13","Canis latrans","Callospermophilus lateralis","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Chordata",3,5230,21300,0.245539906103286,100,"Chordata,Mammalia,Rodentia,Sciuridae,Callospermophilus,lateralis"
