"fieldid.x","defecator","speciessimpleid.x","final_scientific","species","genus","family","order","class","phylum","reps","speciesreads","totalreads","rra","pidmatch","lineage"
"DESC_0282_12","Vulpes vulpes","Lepus americanus","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata",3,119180,130024,0.916600012305421,98.02,"Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,americanus"
"DESC_0282_12","Vulpes vulpes","Peromyscus maniculatus","Peromyscus maniculatus","maniculatus","Peromyscus","Cricetidae","Rodentia","Mammalia","Chordata",3,10844,130024,0.0833999876945795,100,"Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,maniculatus"
"DESC_0282_15","Vulpes vulpes","Peromyscus maniculatus","Peromyscus maniculatus","maniculatus","Peromyscus","Cricetidae","Rodentia","Mammalia","Chordata",3,17930,98128,0.182720528289581,100,"Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,maniculatus"
"DESC_0282_15","Vulpes vulpes","Scapanus sp.","Scapanus sp.","sp.","Scapanus","Talpidae","Euliptophyla","Mammalia","Chordata",3,80198,98128,0.817279471710419,100,"Chordata,Mammalia,Euliptophyla,Talpidae,Scapanus,sp."
"DESC_0282_16","Vulpes vulpes","Tamias sp","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chordata",3,2642,2642,1,100,"Chordata,Mammalia,Rodentia,Sciuridae,Tamias,sp."
"DESC_0282_18","Vulpes vulpes","Myodes californicus","Myodes californicus","californicus","Myodes","Cricetidae","Rodentia","Mammalia","Chordata",3,3604,3604,1,100,"Chordata,Mammalia,Rodentia,Cricetidae,Myodes,californicus"
"DESC_0282_21","Vulpes vulpes","Cervus canadensis","Cervus canadensis","canadensis","Cervus","Cervidae","Cetartiodactyla","Mammalia","Chordata",3,8716,222814,0.039117829220785,100,"Chordata,Mammalia,Cetartiodactyla,Cervidae,Cervus,canadensis"
"DESC_0282_21","Vulpes vulpes","Odocoileus sp.","Odocoileus sp.","sp.","Odocoileus","Cervidae","Cetartiodactyla","Mammalia","Chordata",3,23918,222814,0.107345139892466,100,"Chordata,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,sp."
"DESC_0282_21","Vulpes vulpes","Peromyscus maniculatus","Peromyscus maniculatus","maniculatus","Peromyscus","Cricetidae","Rodentia","Mammalia","Chordata",3,190180,222814,0.853537030886749,100,"Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,maniculatus"
"DESC_0282_23","Vulpes vulpes","Callospermophilus lateralis","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Chordata",3,1294,40946,0.0316025985444244,100,"Chordata,Mammalia,Rodentia,Sciuridae,Callospermophilus,lateralis"
